Forest_NonForest,BGC,fieldcall,basemapunit,description,mapunit_ss_realm,mapunit_ss_association,mapunit_fnf,mapunit_nf
Forest,ESSFdk2,ESSFdk2/110,ESSFdk2/110,,ESSFdk2/110,ESSFdk2/110,forest ,forest 
Forest,ESSFdk2,ESSFdk2/111,ESSFdk2/111,,ESSFdk2/111,ESSFdk2/111,forest ,forest 
Forest,ESSFdk2,ESSFdk2/112,ESSFdk2/112,,ESSFdk2/112,ESSFdk2/112,forest ,forest 
Forest,ESSFdk2,ESSFdk2/112a,ESSFdk2/112a,,ESSFdk2/112,ESSFdk2/112,forest ,forest 
Forest,ESSFdk2,ESSFdk2/112b,ESSFdk2/112b,,ESSFdk2/112,ESSFdk2/112,forest ,forest 
Forest,ESSFdkw,ESSFdkw/101,ESSFdkw/101,,ESSFdkw/101,ESSFdkw/101,forest ,forest 
Forest,ESSFdkw,ESSFdkw/101.1,ESSFdkw/101.1,,ESSFdkw/101,ESSFdkw/101,forest ,forest 
Forest,ESSFdkw,ESSFdkw/101.2,ESSFdkw/101.2,,ESSFdkw/101,ESSFdkw/101,forest ,forest 
Forest,ESSFdkw,ESSFdkw/102,ESSFdkw/102,,ESSFdkw/102,ESSFdkw/102,forest ,forest 
Forest,ESSFdkw,ESSFdkw/103,ESSFdkw/103,,ESSFdkw/103,ESSFdkw/103,forest ,forest 
Forest,ESSFdkw,ESSFdkw/110,ESSFdkw/110,,ESSFdkw/110,ESSFdkw/110,forest ,forest 
Forest,ESSFmc,ESSFmc/01,ESSFmc/01,,ESSFmc/01,ESSFmc/01,forest ,forest 
Forest,ESSFmc,ESSFmc/01a,ESSFmc/01a,,ESSFmc/01,ESSFmc/01,forest ,forest 
Forest,ESSFmc,ESSFmc/01b,ESSFmc/01b,,ESSFmc/01,ESSFmc/01,forest ,forest 
Forest,ESSFmc,ESSFmc/02,ESSFmc/02,,ESSFmc/02,ESSFmc/02,forest ,forest 
Forest,ESSFmc,ESSFmc/03,ESSFmc/03,,ESSFmc/03,ESSFmc/03,forest ,forest 
Forest,ESSFmc,ESSFmc/04,ESSFmc/04,,ESSFmc/04,ESSFmc/04,forest ,forest 
Forest,ESSFmc,ESSFmc/05,ESSFmc/05,,ESSFmc/05,ESSFmc/05,forest ,forest 
Forest,ESSFmc,ESSFmc/06,ESSFmc/06,,ESSFmc/06,ESSFmc/06,forest ,forest 
Forest,ESSFmc,ESSFmc/07,ESSFmc/07,,ESSFmc/07,ESSFmc/07,forest ,forest 
Forest,ESSFmc,ESSFmc/08,ESSFmc/08,,ESSFmc/08,ESSFmc/08,forest ,forest 
Forest,ESSFmc,ESSFmc/09,ESSFmc/09,,ESSFmc/09,ESSFmc/09,forest ,forest 
Forest,ESSFmc,ESSFmc/10,ESSFmc/10,,ESSFmc/10,ESSFmc/10,forest ,forest 
Forest,ESSFmc,ESSFmc/11,ESSFmc/11,,ESSFmc/11,ESSFmc/11,forest ,forest 
Forest,ESSFmcw,ESSFmcw/101,ESSFmcw/101,,ESSFmcw/101,ESSFmcw/101,forest ,forest 
Forest,ESSFmcw,ESSFmcw/101a,ESSFmcw/101a,,ESSFmcw/101,ESSFmcw/101,forest ,forest 
Forest,ESSFmcw,ESSFmcw/101b,ESSFmcw/101b,,ESSFmcw/101,ESSFmcw/101,forest ,forest 
Forest,ESSFmcw,ESSFmcw/102,ESSFmcw/102,,ESSFmcw/102,ESSFmcw/102,forest ,forest 
Forest,ESSFmcw,ESSFmcw/103,ESSFmcw/103,,ESSFmcw/103,ESSFmcw/103,forest ,forest 
Forest,ESSFmcw,ESSFmcw/110,ESSFmcw/110,,ESSFmcw/110,ESSFmcw/110,forest ,forest 
Forest,ESSFmcw,ESSFmcw/111,ESSFmcw/111,,ESSFmcw/111,ESSFmcw/111,forest ,forest 
Forest,ESSFmh,ESSFmh/101,ESSFmh/101,,ESSFmh/101,ESSFmh/101,forest ,forest 
Forest,ESSFmh,ESSFmh/102,ESSFmh/102,,ESSFmh/102,ESSFmh/102,forest ,forest 
Forest,ESSFmh,ESSFmh/103,ESSFmh/103,,ESSFmh/103,ESSFmh/103,forest ,forest 
Forest,ESSFmh,ESSFmh/104,ESSFmh/104,,ESSFmh/104,ESSFmh/104,forest ,forest 
Forest,ESSFmh,ESSFmh/105,ESSFmh/105,,ESSFmh/105,ESSFmh/105,forest ,forest 
Forest,ESSFmh,ESSFmh/110,ESSFmh/110,,ESSFmh/110,ESSFmh/110,forest ,forest 
Forest,ESSFmh,ESSFmh/111,ESSFmh/111,,ESSFmh/111,ESSFmh/111,forest ,forest 
Forest,ESSFmh,ESSFmh/112,ESSFmh/112,,ESSFmh/112,ESSFmh/112,forest ,forest 
Forest,ESSFmh,ESSFmh/112a,ESSFmh/112a,,ESSFmh/112,ESSFmh/112,forest ,forest 
Forest,ESSFmh,ESSFmh/112b,ESSFmh/112b,,ESSFmh/112,ESSFmh/112,forest ,forest 
Forest,ESSFmk,ESSFmk/01,ESSFmk/01,,ESSFmk/01,ESSFmk/01,forest ,forest 
Forest,ESSFmk,ESSFmk/02,ESSFmk/02,,ESSFmk/02,ESSFmk/02,forest ,forest 
Forest,ESSFmk,ESSFmk/02a,ESSFmk/02a,,ESSFmk/02,ESSFmk/02,forest ,forest 
Forest,ESSFmk,ESSFmk/02b,ESSFmk/02b,,ESSFmk/02,ESSFmk/02,forest ,forest 
Forest,ESSFmk,ESSFmk/03,ESSFmk/03,,ESSFmk/03,ESSFmk/03,forest ,forest 
Forest,ESSFmk,ESSFmk/04,ESSFmk/04,,ESSFmk/04,ESSFmk/04,forest ,forest 
Forest,ESSFmk,ESSFmk/05,ESSFmk/05,,ESSFmk/05,ESSFmk/05,forest ,forest 
Forest,ESSFmk,ESSFmk/06,ESSFmk/06,,ESSFmk/06,ESSFmk/06,forest ,forest 
Forest,ESSFmk,ESSFmk/07,ESSFmk/07,,ESSFmk/07,ESSFmk/07,forest ,forest 
Forest,ESSFmkw,ESSFmkw/101,ESSFmkw/101,,ESSFmkw/101,ESSFmkw/101,forest ,forest 
Forest,ESSFmkw,ESSFmkw/102,ESSFmkw/102,,ESSFmkw/102,ESSFmkw/102,forest ,forest 
Forest,ESSFmkw,ESSFmkw/103,ESSFmkw/103,,ESSFmkw/103,ESSFmkw/103,forest ,forest 
Forest,ESSFmkw,ESSFmkw/104,ESSFmkw/104,,ESSFmkw/104,ESSFmkw/104,forest ,forest 
Forest,ESSFmkw,ESSFmkw/110,ESSFmkw/110,,ESSFmkw/110,ESSFmkw/110,forest ,forest 
Forest,ESSFmkw,ESSFmkw/111,ESSFmkw/111,,ESSFmkw/111,ESSFmkw/111,forest ,forest 
Forest,ESSFmm1,ESSFmm1/01,ESSFmm1/01,,ESSFmm1/01,ESSFmm1/01,forest ,forest 
Forest,ESSFmm1,ESSFmm1/02,ESSFmm1/02,,ESSFmm1/02,ESSFmm1/02,forest ,forest 
Forest,ESSFmm1,ESSFmm1/03,ESSFmm1/03,,ESSFmm1/03,ESSFmm1/03,forest ,forest 
Forest,ESSFmm1,ESSFmm1/04,ESSFmm1/04,,ESSFmm1/04,ESSFmm1/04,forest ,forest 
Forest,ESSFmm1,ESSFmm1/05,ESSFmm1/05,,ESSFmm1/05,ESSFmm1/05,forest ,forest 
Forest,ESSFmm1,ESSFmm1/06,ESSFmm1/06,,ESSFmm1/06,ESSFmm1/06,forest ,forest 
Forest,ESSFmm1,ESSFmm1/07,ESSFmm1/07,,ESSFmm1/07,ESSFmm1/07,forest ,forest 
Forest,ESSFmm3,ESSFmm3/101,ESSFmm3/101,,ESSFmm3/101,ESSFmm3/101,forest ,forest 
Forest,ESSFmm3,ESSFmm3/102,ESSFmm3/102,,ESSFmm3/102,ESSFmm3/102,forest ,forest 
Forest,ESSFmm3,ESSFmm3/103,ESSFmm3/103,,ESSFmm3/103,ESSFmm3/103,forest ,forest 
Forest,ESSFmm3,ESSFmm3/104,ESSFmm3/104,,ESSFmm3/104,ESSFmm3/104,forest ,forest 
Forest,ESSFmm3,ESSFmm3/110,ESSFmm3/110,,ESSFmm3/110,ESSFmm3/110,forest ,forest 
Forest,ESSFmm3,ESSFmm3/111,ESSFmm3/111,,ESSFmm3/111,ESSFmm3/111,forest ,forest 
Forest,ESSFmm3,ESSFmm3/112,ESSFmm3/112,,ESSFmm3/112,ESSFmm3/112,forest ,forest 
Forest,ESSFmv1,ESSFmv1/01,ESSFmv1/01,,ESSFmv1/01,ESSFmv1/01,forest ,forest 
Forest,ESSFmv1,ESSFmv1/02,ESSFmv1/02,,ESSFmv1/02,ESSFmv1/02,forest ,forest 
Forest,ESSFmv1,ESSFmv1/03,ESSFmv1/03,,ESSFmv1/03,ESSFmv1/03,forest ,forest 
Forest,ESSFmv1,ESSFmv1/04,ESSFmv1/04,,ESSFmv1/04,ESSFmv1/04,forest ,forest 
Forest,ESSFmv1,ESSFmv1/05,ESSFmv1/05,,ESSFmv1/05,ESSFmv1/05,forest ,forest 
Forest,ESSFmv2,ESSFmv2/01,ESSFmv2/01,,ESSFmv2/01,ESSFmv2/01,forest ,forest 
Forest,ESSFmv2,ESSFmv2/02,ESSFmv2/02,,ESSFmv2/02,ESSFmv2/02,forest ,forest 
Forest,ESSFmv2,ESSFmv2/03,ESSFmv2/03,,ESSFmv2/03,ESSFmv2/03,forest ,forest 
Forest,ESSFmv2,ESSFmv2/04,ESSFmv2/04,,ESSFmv2/04,ESSFmv2/04,forest ,forest 
Forest,ESSFmv2,ESSFmv2/05,ESSFmv2/05,,ESSFmv2/05,ESSFmv2/05,forest ,forest 
Forest,ESSFmv2,ESSFmv2/06,ESSFmv2/06,,ESSFmv2/06,ESSFmv2/06,forest ,forest 
Forest,ESSFmv3,ESSFmv3/01,ESSFmv3/01,,ESSFmv3/01,ESSFmv3/01,forest ,forest 
Forest,ESSFmv3,ESSFmv3/02,ESSFmv3/02,,ESSFmv3/02,ESSFmv3/02,forest ,forest 
Forest,ESSFmv3,ESSFmv3/03,ESSFmv3/03,,ESSFmv3/03,ESSFmv3/03,forest ,forest 
Forest,ESSFmv3,ESSFmv3/04,ESSFmv3/04,,ESSFmv3/04,ESSFmv3/04,forest ,forest 
Forest,ESSFmv3,ESSFmv3/05,ESSFmv3/05,,ESSFmv3/05,ESSFmv3/05,forest ,forest 
Forest,ESSFmv3,ESSFmv3/06,ESSFmv3/06,,ESSFmv3/06,ESSFmv3/06,forest ,forest 
Forest,ESSFmv3,ESSFmv3/07,ESSFmv3/07,,ESSFmv3/07,ESSFmv3/07,forest ,forest 
Forest,ESSFmv3,ESSFmv3/08,ESSFmv3/08,,ESSFmv3/08,ESSFmv3/08,forest ,forest 
Forest,ESSFmv4,ESSFmv4/01,ESSFmv4/01,,ESSFmv4/01,ESSFmv4/01,forest ,forest 
Forest,ESSFmv4,ESSFmv4/02,ESSFmv4/02,,ESSFmv4/02,ESSFmv4/02,forest ,forest 
Forest,ESSFmv4,ESSFmv4/03,ESSFmv4/03,,ESSFmv4/03,ESSFmv4/03,forest ,forest 
Forest,ESSFmv4,ESSFmv4/04,ESSFmv4/04,,ESSFmv4/04,ESSFmv4/04,forest ,forest 
Forest,ESSFmv4,ESSFmv4/05,ESSFmv4/05,,ESSFmv4/05,ESSFmv4/05,forest ,forest 
Forest,ESSFmw,ESSFmw/01,ESSFmw/01,,ESSFmw/01,ESSFmw/01,forest ,forest 
Forest,ESSFmw,ESSFmw/02,ESSFmw/02,,ESSFmw/02,ESSFmw/02,forest ,forest 
Forest,ESSFmw,ESSFmw/03,ESSFmw/03,,ESSFmw/03,ESSFmw/03,forest ,forest 
Forest,ESSFmw,ESSFmw/04,ESSFmw/04,,ESSFmw/04,ESSFmw/04,forest ,forest 
Forest,ESSFmw,ESSFmw/05,ESSFmw/05,,ESSFmw/05,ESSFmw/05,forest ,forest 
Forest,ESSFmw,ESSFmw/06,ESSFmw/06,,ESSFmw/06,ESSFmw/06,forest ,forest 
Forest,ESSFmw,ESSFmw/07,ESSFmw/07,,ESSFmw/07,ESSFmw/07,forest ,forest 
Forest,ESSFmw,ESSFmw/08,ESSFmw/08,,ESSFmw/08,ESSFmw/08,forest ,forest 
Forest,ESSFmw1,ESSFmw1/101,ESSFmw1/101,,ESSFmw1/101,ESSFmw1/101,forest ,forest 
Forest,ESSFmw1,ESSFmw1/102,ESSFmw1/102,,ESSFmw1/102,ESSFmw1/102,forest ,forest 
Forest,ESSFmw1,ESSFmw1/102.1,ESSFmw1/102.1,,ESSFmw1/102,ESSFmw1/102,forest ,forest 
Forest,ESSFmw1,ESSFmw1/102.2,ESSFmw1/102.2,,ESSFmw1/102,ESSFmw1/102,forest ,forest 
Forest,ESSFmw1,ESSFmw1/103,ESSFmw1/103,,ESSFmw1/103,ESSFmw1/103,forest ,forest 
Forest,ESSFmw1,ESSFmw1/104,ESSFmw1/104,,ESSFmw1/104,ESSFmw1/104,forest ,forest 
Forest,ESSFmw1,ESSFmw1/105,ESSFmw1/105,,ESSFmw1/105,ESSFmw1/105,forest ,forest 
Forest,ESSFmw1,ESSFmw1/110,ESSFmw1/110,,ESSFmw1/110,ESSFmw1/110,forest ,forest 
Forest,ESSFmw1,ESSFmw1/111,ESSFmw1/111,,ESSFmw1/111,ESSFmw1/111,forest ,forest 
Forest,ESSFvc,ESSFvc/01,ESSFvc/01,,ESSFvc/01,ESSFvc/01,forest ,forest 
Forest,ESSFvc,ESSFvc/02,ESSFvc/02,,ESSFvc/02,ESSFvc/02,forest ,forest 
Forest,ESSFvc,ESSFvc/03,ESSFvc/03,,ESSFvc/03,ESSFvc/03,forest ,forest 
Forest,ESSFvc,ESSFvc/04,ESSFvc/04,,ESSFvc/04,ESSFvc/04,forest ,forest 
Forest,ESSFvc,ESSFvc/05,ESSFvc/05,,ESSFvc/05,ESSFvc/05,forest ,forest 
NonForest,ESSFvc,ESSFvc/06,ESSFvc/06,,ESSFvc/06,ESSFvc/06,forest ,forest 
Forest,ESSFwc2,ESSFwc2/01,ESSFwc2/01,,ESSFwc2/01,ESSFwc2/01,forest ,forest 
Forest,ESSFwc2,ESSFwc2/02,ESSFwc2/02,,ESSFwc2/02,ESSFwc2/02,forest ,forest 
Forest,ESSFwc2,ESSFwc2/03,ESSFwc2/03,,ESSFwc2/03,ESSFwc2/03,forest ,forest 
Forest,ESSFwc2,ESSFwc2/04,ESSFwc2/04,,ESSFwc2/04,ESSFwc2/04,forest ,forest 
Forest,ESSFwc2,ESSFwc2/05,ESSFwc2/05,,ESSFwc2/05,ESSFwc2/05,forest ,forest 
Forest,ESSFwc2,ESSFwc2/06,ESSFwc2/06,,ESSFwc2/06,ESSFwc2/06,forest ,forest 
Forest,ESSFwc2,ESSFwc2/07,ESSFwc2/07,,ESSFwc2/07,ESSFwc2/07,forest ,forest 
Forest,ESSFwc2,ESSFwc2/08,ESSFwc2/08,,ESSFwc2/08,ESSFwc2/08,forest ,forest 
Forest,ESSFwc2,ESSFwc2/09,ESSFwc2/09,,ESSFwc2/09,ESSFwc2/09,forest ,forest 
NonForest,ESSFwc2,ESSFwc2/10,ESSFwc2/10,,ESSFwc2/10,ESSFwc2/10,forest ,forest 
Forest,ESSFwc3,ESSFwc3/01,ESSFwc3/01,,ESSFwc3/01,ESSFwc3/01,forest ,forest 
Forest,ESSFwc3,ESSFwc3/02,ESSFwc3/02,,ESSFwc3/02,ESSFwc3/02,forest ,forest 
Forest,ESSFwc3,ESSFwc3/03,ESSFwc3/03,,ESSFwc3/03,ESSFwc3/03,forest ,forest 
Forest,ESSFwc3,ESSFwc3/04,ESSFwc3/04,,ESSFwc3/04,ESSFwc3/04,forest ,forest 
Forest,ESSFwc4,ESSFwc4/101,ESSFwc4/101,,ESSFwc4/101,ESSFwc4/101,forest ,forest 
Forest,ESSFwc4,ESSFwc4/102,ESSFwc4/102,,ESSFwc4/102,ESSFwc4/102,forest ,forest 
Forest,ESSFwc4,ESSFwc4/103,ESSFwc4/103,,ESSFwc4/103,ESSFwc4/103,forest ,forest 
Forest,ESSFwc4,ESSFwc4/103a,ESSFwc4/103a,,ESSFwc4/103,ESSFwc4/103,forest ,forest 
Forest,ESSFwc4,ESSFwc4/103b,ESSFwc4/103b,,ESSFwc4/103,ESSFwc4/103,forest ,forest 
Forest,ESSFwc4,ESSFwc4/110,ESSFwc4/110,,ESSFwc4/110,ESSFwc4/110,forest ,forest 
Forest,ESSFwc4,ESSFwc4/111,ESSFwc4/111,,ESSFwc4/111,ESSFwc4/111,forest ,forest 
Forest,ESSFwc4,ESSFwc4/112,ESSFwc4/112,,ESSFwc4/112,ESSFwc4/112,forest ,forest 
Forest,ESSFwc4,ESSFwc4/112a,ESSFwc4/112a,,ESSFwc4/112,ESSFwc4/112,forest ,forest 
Forest,ESSFwc4,ESSFwc4/112b,ESSFwc4/112b,,ESSFwc4/112,ESSFwc4/112,forest ,forest 
Forest,ESSFwcw,ESSFwcw/101,ESSFwcw/101,,ESSFwcw/101,ESSFwcw/101,forest ,forest 
Forest,ESSFwcw,ESSFwcw/102,ESSFwcw/102,,ESSFwcw/102,ESSFwcw/102,forest ,forest 
Forest,ESSFwcw,ESSFwcw/103,ESSFwcw/103,,ESSFwcw/103,ESSFwcw/103,forest ,forest 
Forest,ESSFwcw,ESSFwcw/104,ESSFwcw/104,,ESSFwcw/104,ESSFwcw/104,forest ,forest 
Forest,ESSFwcw,ESSFwcw/104.1,ESSFwcw/104.1,,ESSFwcw/104,ESSFwcw/104,forest ,forest 
Forest,ESSFwcw,ESSFwcw/104.2,ESSFwcw/104.2,,ESSFwcw/104,ESSFwcw/104,forest ,forest 
Forest,ESSFwcw,ESSFwcw/104.3,ESSFwcw/104.3,,ESSFwcw/104,ESSFwcw/104,forest ,forest 
Forest,ESSFwcw,ESSFwcw/110,ESSFwcw/110,,ESSFwcw/110,ESSFwcw/110,forest ,forest 
Forest,ESSFwh1,ESSFwh1/101,ESSFwh1/101,,ESSFwh1/101,ESSFwh1/101,forest ,forest 
Forest,ESSFwh1,ESSFwh1/102,ESSFwh1/102,,ESSFwh1/102,ESSFwh1/102,forest ,forest 
Forest,ESSFwh1,ESSFwh1/103,ESSFwh1/103,,ESSFwh1/103,ESSFwh1/103,forest ,forest 
Forest,ESSFwh1,ESSFwh1/104,ESSFwh1/104,,ESSFwh1/104,ESSFwh1/104,forest ,forest 
Forest,ESSFwh1,ESSFwh1/110,ESSFwh1/110,,ESSFwh1/110,ESSFwh1/110,forest ,forest 
Forest,ESSFwh1,ESSFwh1/110.1,ESSFwh1/110.1,,ESSFwh1/110,ESSFwh1/110,forest ,forest 
Forest,ESSFwh1,ESSFwh1/110.2,ESSFwh1/110.2,,ESSFwh1/110,ESSFwh1/110,forest ,forest 
Forest,ESSFwh1,ESSFwh1/111,ESSFwh1/111,,ESSFwh1/111,ESSFwh1/111,forest ,forest 
Forest,ESSFwh1,ESSFwh1/111a,ESSFwh1/111a,,ESSFwh1/111,ESSFwh1/111,forest ,forest 
Forest,ESSFwh1,ESSFwh1/111b,ESSFwh1/111b,,ESSFwh1/111,ESSFwh1/111,forest ,forest 
Forest,ESSFwh2,ESSFwh2/101,ESSFwh2/101,,ESSFwh2/101,ESSFwh2/101,forest ,forest 
Forest,ESSFwh2,ESSFwh2/102,ESSFwh2/102,,ESSFwh2/102,ESSFwh2/102,forest ,forest 
Forest,ESSFwh2,ESSFwh2/103,ESSFwh2/103,,ESSFwh2/103,ESSFwh2/103,forest ,forest 
Forest,ESSFwh2,ESSFwh2/104,ESSFwh2/104,,ESSFwh2/104,ESSFwh2/104,forest ,forest 
Forest,ESSFwh2,ESSFwh2/110,ESSFwh2/110,,ESSFwh2/110,ESSFwh2/110,forest ,forest 
Forest,ESSFwh2,ESSFwh2/111,ESSFwh2/111,,ESSFwh2/111,ESSFwh2/111,forest ,forest 
Forest,ESSFwh2,ESSFwh2/112,ESSFwh2/112,,ESSFwh2/112,ESSFwh2/112,forest ,forest 
Forest,ESSFwh2,ESSFwh2/112a,ESSFwh2/112a,,ESSFwh2/112,ESSFwh2/112,forest ,forest 
Forest,ESSFwh2,ESSFwh2/112b,ESSFwh2/112b,,ESSFwh2/112,ESSFwh2/112,forest ,forest 
Forest,ESSFwh3,ESSFwh3/101,ESSFwh3/101,,ESSFwh3/101,ESSFwh3/101,forest ,forest 
Forest,ESSFwh3,ESSFwh3/102,ESSFwh3/102,,ESSFwh3/102,ESSFwh3/102,forest ,forest 
Forest,ESSFwh3,ESSFwh3/103,ESSFwh3/103,,ESSFwh3/103,ESSFwh3/103,forest ,forest 
Forest,ESSFwh3,ESSFwh3/104,ESSFwh3/104,,ESSFwh3/104,ESSFwh3/104,forest ,forest 
Forest,ESSFwh3,ESSFwh3/104.1,ESSFwh3/104.1,,ESSFwh3/104,ESSFwh3/104,forest ,forest 
Forest,ESSFwh3,ESSFwh3/104.2,ESSFwh3/104.2,,ESSFwh3/104,ESSFwh3/104,forest ,forest 
Forest,ESSFwh3,ESSFwh3/110,ESSFwh3/110,,ESSFwh3/110,ESSFwh3/110,forest ,forest 
Forest,ESSFwh3,ESSFwh3/111,ESSFwh3/111,,ESSFwh3/111,ESSFwh3/111,forest ,forest 
Forest,ESSFwh3,ESSFwh3/112,ESSFwh3/112,,ESSFwh3/112,ESSFwh3/112,forest ,forest 
Forest,ESSFwh3,ESSFwh3/112a,ESSFwh3/112a,,ESSFwh3/112,ESSFwh3/112,forest ,forest 
Forest,ESSFwh3,ESSFwh3/112b,ESSFwh3/112b,,ESSFwh3/112,ESSFwh3/112,forest ,forest 
Forest,ESSFwk1,ESSFwk1/01,ESSFwk1/01,,ESSFwk1/01,ESSFwk1/01,forest ,forest 
Forest,ESSFwk1,ESSFwk1/02,ESSFwk1/02,,ESSFwk1/02,ESSFwk1/02,forest ,forest 
Forest,ESSFwk1,ESSFwk1/03,ESSFwk1/03,,ESSFwk1/03,ESSFwk1/03,forest ,forest 
Forest,ESSFwk1,ESSFwk1/04,ESSFwk1/04,,ESSFwk1/04,ESSFwk1/04,forest ,forest 
Forest,ESSFwk1,ESSFwk1/05,ESSFwk1/05,,ESSFwk1/05,ESSFwk1/05,forest ,forest 
Forest,ESSFwk1,ESSFwk1/06,ESSFwk1/06,,ESSFwk1/06,ESSFwk1/06,forest ,forest 
Forest,ESSFwk1,ESSFwk1/07,ESSFwk1/07,,ESSFwk1/07,ESSFwk1/07,forest ,forest 
NonForest,ESSFwk1,ESSFwk1/31,ESSFwk1/31,,ESSFwk1/31,ESSFwk1/31,forest ,forest 
NonForest,ESSFwk1,ESSFwk1/51,ESSFwk1/51,,ESSFwk1/51,ESSFwk1/51,forest ,forest 
Forest,ESSFwk2,ESSFwk2/01,ESSFwk2/01,,ESSFwk2/01,ESSFwk2/01,forest ,forest 
Forest,ESSFwk2,ESSFwk2/02,ESSFwk2/02,,ESSFwk2/02,ESSFwk2/02,forest ,forest 
Forest,ESSFwk2,ESSFwk2/03,ESSFwk2/03,,ESSFwk2/03,ESSFwk2/03,forest ,forest 
Forest,ESSFwk2,ESSFwk2/04,ESSFwk2/04,,ESSFwk2/04,ESSFwk2/04,forest ,forest 
Forest,ESSFwk2,ESSFwk2/05,ESSFwk2/05,,ESSFwk2/05,ESSFwk2/05,forest ,forest 
Forest,ESSFwk2,ESSFwk2/06,ESSFwk2/06,,ESSFwk2/06,ESSFwk2/06,forest ,forest 
Forest,ESSFwm1,ESSFwm1/101,ESSFwm1/101,,ESSFwm1/101,ESSFwm1/101,forest ,forest 
Forest,ESSFwm1,ESSFwm1/102,ESSFwm1/102,,ESSFwm1/102,ESSFwm1/102,forest ,forest 
Forest,ESSFwm1,ESSFwm1/103,ESSFwm1/103,,ESSFwm1/103,ESSFwm1/103,forest ,forest 
Forest,ESSFwm1,ESSFwm1/104,ESSFwm1/104,,ESSFwm1/104,ESSFwm1/104,forest ,forest 
Forest,ESSFwm1,ESSFwm1/110,ESSFwm1/110,,ESSFwm1/110,ESSFwm1/110,forest ,forest 
Forest,ESSFwm1,ESSFwm1/111,ESSFwm1/111,,ESSFwm1/111,ESSFwm1/111,forest ,forest 
Forest,ESSFwm1,ESSFwm1/112,ESSFwm1/112,,ESSFwm1/112,ESSFwm1/112,forest ,forest 
Forest,ESSFwm2,ESSFwm2/101,ESSFwm2/101,,ESSFwm2/101,ESSFwm2/101,forest ,forest 
Forest,ESSFwm2,ESSFwm2/102,ESSFwm2/102,,ESSFwm2/102,ESSFwm2/102,forest ,forest 
Forest,ESSFwm2,ESSFwm2/103,ESSFwm2/103,,ESSFwm2/103,ESSFwm2/103,forest ,forest 
Forest,ESSFwm2,ESSFwm2/104,ESSFwm2/104,,ESSFwm2/104,ESSFwm2/104,forest ,forest 
Forest,ESSFwm2,ESSFwm2/110,ESSFwm2/110,,ESSFwm2/110,ESSFwm2/110,forest ,forest 
Forest,ESSFwm2,ESSFwm2/111,ESSFwm2/111,,ESSFwm2/111,ESSFwm2/111,forest ,forest 
Forest,ESSFwm2,ESSFwm2/112,ESSFwm2/112,,ESSFwm2/112,ESSFwm2/112,forest ,forest 
Forest,ESSFwm2,ESSFwm2/112a,ESSFwm2/112a,,ESSFwm2/112,ESSFwm2/112,forest ,forest 
Forest,ESSFwm2,ESSFwm2/112b,ESSFwm2/112b,,ESSFwm2/112,ESSFwm2/112,forest ,forest 
Forest,ESSFwm3,ESSFwm3/101,ESSFwm3/101,,ESSFwm3/101,ESSFwm3/101,forest ,forest 
Forest,ESSFwm3,ESSFwm3/102,ESSFwm3/102,,ESSFwm3/102,ESSFwm3/102,forest ,forest 
Forest,ESSFwm3,ESSFwm3/103,ESSFwm3/103,,ESSFwm3/103,ESSFwm3/103,forest ,forest 
Forest,ESSFwm3,ESSFwm3/104,ESSFwm3/104,,ESSFwm3/104,ESSFwm3/104,forest ,forest 
Forest,ESSFwm3,ESSFwm3/105,ESSFwm3/105,,ESSFwm3/105,ESSFwm3/105,forest ,forest 
Forest,ESSFwm3,ESSFwm3/110,ESSFwm3/110,,ESSFwm3/110,ESSFwm3/110,forest ,forest 
Forest,ESSFwm3,ESSFwm3/111,ESSFwm3/111,,ESSFwm3/111,ESSFwm3/111,forest ,forest 
Forest,ESSFwm3,ESSFwm3/112,ESSFwm3/112,,ESSFwm3/112,ESSFwm3/112,forest ,forest 
Forest,ESSFwm3,ESSFwm3/112a,ESSFwm3/112a,,ESSFwm3/112,ESSFwm3/112,forest ,forest 
Forest,ESSFwm3,ESSFwm3/112b,ESSFwm3/112b,,ESSFwm3/112,ESSFwm3/112,forest ,forest 
Forest,ESSFwm4,ESSFwm4/101,ESSFwm4/101,,ESSFwm4/101,ESSFwm4/101,forest ,forest 
Forest,ESSFwm4,ESSFwm4/102,ESSFwm4/102,,ESSFwm4/102,ESSFwm4/102,forest ,forest 
Forest,ESSFwm4,ESSFwm4/102a,ESSFwm4/102a,,ESSFwm4/102,ESSFwm4/102,forest ,forest 
Forest,ESSFwm4,ESSFwm4/102b,ESSFwm4/102b,,ESSFwm4/102,ESSFwm4/102,forest ,forest 
Forest,ESSFwm4,ESSFwm4/103,ESSFwm4/103,,ESSFwm4/103,ESSFwm4/103,forest ,forest 
Forest,ESSFwm4,ESSFwm4/103.1,ESSFwm4/103.1,,ESSFwm4/103,ESSFwm4/103,forest ,forest 
Forest,ESSFwm4,ESSFwm4/103.2,ESSFwm4/103.2,,ESSFwm4/103,ESSFwm4/103,forest ,forest 
Forest,ESSFwm4,ESSFwm4/110,ESSFwm4/110,,ESSFwm4/110,ESSFwm4/110,forest ,forest 
Forest,ESSFwm4,ESSFwm4/111,ESSFwm4/111,,ESSFwm4/111,ESSFwm4/111,forest ,forest 
Forest,ESSFwmw,ESSFwmw/101,ESSFwmw/101,,ESSFwmw/101,ESSFwmw/101,forest ,forest 
